對獎日期,開獎號碼,預測開獎號碼範圍,對中的號碼數量,對中的號碼
['2020/1/1'],[ 1 22 26 27 39],"[25, 6, 3, 30, 5, 24, 23, 31, 29, 28]",0,
['2020/1/2'],[ 1  6 11 23 27],"[2, 4, 29, 5, 14, 9, 25, 34, 31, 18]",0,
['2020/1/3'],[ 1  3  8 18 31],"[25, 5, 37, 10, 31, 2, 34, 32, 11, 28]",1,{31}
['2020/1/4'],[23 25 29 30 32],"[24, 25, 35, 33, 34, 6, 36, 29, 4, 11]",2,"{25, 29}"
['2020/1/6'],[14 16 27 28 34],"[29, 34, 38, 39, 35, 7, 12, 13, 30, 21]",1,{34}
['2020/1/7'],[10 11 28 37 38],"[11, 30, 23, 18, 5, 8, 17, 24, 15, 1]",1,{11}
['2020/1/8'],[ 4  6 10 12 26],"[3, 35, 8, 23, 28, 11, 21, 31, 30, 33]",0,
['2020/1/9'],[ 4 13 20 30 36],"[35, 9, 2, 15, 23, 29, 3, 19, 17, 21]",0,
['2020/1/10'],[ 2  5 10 21 29],"[19, 3, 27, 13, 23, 28, 18, 39, 38, 20]",0,
['2020/1/11'],[ 3 14 16 25 34],"[28, 4, 10, 26, 15, 21, 32, 39, 3, 34]",2,"{34, 3}"
['2020/1/13'],[11 13 24 28 35],"[17, 29, 3, 19, 13, 8, 5, 25, 39, 32]",1,{13}
['2020/1/14'],[10 27 36 37 39],"[8, 9, 33, 35, 7, 5, 3, 27, 17, 13]",1,{27}
['2020/1/15'],[10 17 19 35 39],"[7, 24, 12, 20, 4, 37, 3, 30, 1, 10]",1,{10}
['2020/1/16'],[ 3  4  5 10 33],"[12, 36, 32, 31, 2, 6, 29, 39, 8, 7]",0,
['2020/1/17'],[ 4 17 18 22 32],"[20, 22, 38, 21, 15, 32, 12, 5, 23, 2]",2,"{32, 22}"
['2020/1/18'],[ 6 14 22 28 37],"[25, 11, 23, 32, 13, 33, 19, 4, 35, 2]",0,
['2020/1/20'],[ 4 21 28 35 38],"[1, 23, 36, 39, 13, 38, 2, 4, 29, 18]",2,"{4, 38}"
['2020/1/21'],[10 17 27 29 32],"[35, 18, 24, 5, 38, 32, 1, 17, 21, 15]",2,"{32, 17}"
['2020/1/22'],[ 4 11 22 33 36],"[24, 36, 26, 19, 15, 34, 33, 30, 8, 7]",2,"{33, 36}"
['2020/1/23'],[ 1 17 23 33 39],"[27, 23, 25, 13, 38, 3, 18, 31, 2, 24]",1,{23}
['2020/1/24'],[ 3  7 27 35 39],"[27, 9, 12, 30, 32, 5, 24, 6, 19, 4]",1,{27}
['2020/1/25'],[ 5 12 13 20 26],"[2, 25, 21, 4, 31, 37, 36, 15, 26, 11]",1,{26}
['2020/1/27'],[ 1  9 14 27 39],"[12, 17, 15, 31, 20, 5, 23, 29, 26, 1]",1,{1}
['2020/1/28'],[ 1  2 18 33 39],"[3, 12, 35, 28, 15, 20, 11, 38, 9, 23]",0,
['2020/1/29'],[10 15 19 28 30],"[31, 6, 30, 33, 24, 37, 1, 17, 29, 12]",1,{30}
['2020/1/30'],[ 8 10 16 24 34],"[17, 30, 21, 11, 20, 37, 1, 6, 10, 28]",1,{10}
['2020/1/31'],[ 8 11 17 27 31],"[10, 36, 4, 38, 1, 20, 28, 11, 27, 14]",2,"{27, 11}"
['2020/2/1'],[ 4  7 13 20 24],"[3, 15, 38, 14, 33, 37, 4, 12, 30, 29]",1,{4}
['2020/2/3'],[ 1  3 21 24 34],"[11, 29, 37, 8, 1, 27, 18, 28, 7, 13]",1,{1}
['2020/2/4'],[12 29 35 37 38],"[33, 11, 20, 2, 25, 21, 5, 32, 19, 9]",0,
['2020/2/5'],[ 2  4 23 31 38],"[35, 5, 9, 11, 33, 34, 25, 18, 27, 10]",0,
['2020/2/6'],[ 1  3  7 23 39],"[9, 28, 39, 35, 20, 7, 17, 37, 3, 23]",4,"{3, 7, 23, 39}"
['2020/2/7'],[ 8 13 20 25 29],"[26, 37, 28, 15, 18, 13, 9, 38, 4, 29]",2,"{29, 13}"
['2020/2/8'],[12 23 26 27 33],"[11, 12, 33, 3, 39, 32, 7, 37, 14, 21]",2,"{33, 12}"
['2020/2/10'],[ 8 23 24 31 39],"[24, 23, 33, 21, 8, 1, 25, 19, 17, 14]",3,"{8, 24, 23}"
['2020/2/11'],[ 5 12 19 27 28],"[38, 16, 14, 2, 6, 29, 31, 37, 36, 24]",0,
['2020/2/12'],[17 19 23 33 35],"[25, 33, 11, 23, 26, 27, 38, 8, 34, 5]",2,"{33, 23}"
['2020/2/13'],[ 1 17 28 35 38],"[19, 5, 39, 14, 36, 35, 12, 30, 34, 21]",1,{35}
['2020/2/14'],[ 4 13 25 26 36],"[31, 10, 29, 2, 13, 20, 9, 18, 23, 22]",1,{13}
['2020/2/15'],[ 5  8 18 29 33],"[27, 28, 32, 25, 24, 33, 15, 36, 12, 5]",2,"{33, 5}"
['2020/2/17'],[ 2 18 30 35 36],"[2, 39, 25, 27, 35, 38, 26, 16, 20, 32]",2,"{2, 35}"
['2020/2/18'],[ 1  5  6  9 31],"[20, 24, 30, 22, 4, 9, 8, 32, 13, 6]",2,"{9, 6}"
['2020/2/19'],[ 2  6 20 24 34],"[13, 1, 26, 12, 35, 24, 6, 33, 27, 2]",3,"{24, 2, 6}"
['2020/2/20'],[ 5 10 20 27 36],"[23, 4, 28, 5, 7, 27, 35, 18, 38, 29]",2,"{27, 5}"
['2020/2/21'],[ 4  8 20 23 27],"[18, 14, 33, 29, 6, 38, 16, 25, 13, 35]",0,
['2020/2/22'],[13 18 19 36 37],"[24, 22, 34, 26, 1, 9, 17, 31, 32, 12]",0,
['2020/2/24'],[ 1  2 23 29 30],"[2, 12, 39, 38, 34, 18, 8, 11, 21, 3]",1,{2}
['2020/2/25'],[ 5  9 10 11 22],"[6, 7, 27, 22, 2, 8, 25, 15, 21, 26]",1,{22}
['2020/2/26'],[ 2  5 15 19 26],"[9, 13, 6, 39, 19, 17, 4, 7, 1, 21]",1,{19}
['2020/2/27'],[17 19 28 35 36],"[2, 37, 20, 33, 6, 13, 30, 26, 4, 38]",0,
['2020/2/28'],[ 4 10 12 17 21],"[33, 21, 9, 23, 14, 22, 17, 32, 38, 10]",3,"{17, 10, 21}"
['2020/2/29'],[ 7 17 20 27 39],"[23, 8, 37, 13, 15, 21, 36, 20, 26, 2]",1,{20}
['2020/3/2'],[ 5  6 10 26 27],"[28, 37, 15, 17, 34, 29, 35, 26, 25, 1]",1,{26}
['2020/3/3'],[ 3  7 15 16 29],"[7, 30, 5, 11, 25, 18, 19, 27, 20, 1]",1,{7}
['2020/3/4'],[ 2  7  9 17 27],"[1, 15, 28, 24, 8, 29, 22, 2, 30, 35]",1,{2}
['2020/3/5'],[10 20 23 28 31],"[15, 4, 6, 3, 19, 23, 35, 39, 1, 28]",2,"{28, 23}"
['2020/3/6'],[ 8 11 13 15 29],"[10, 32, 13, 34, 29, 28, 15, 5, 1, 38]",3,"{29, 13, 15}"
['2020/3/7'],[ 9 10 12 17 20],"[20, 35, 1, 4, 25, 24, 16, 9, 12, 17]",4,"{9, 12, 20, 17}"
['2020/3/9'],[ 6 11 18 27 28],"[35, 1, 20, 7, 39, 34, 6, 33, 2, 5]",1,{6}
['2020/3/10'],[16 26 27 33 34],"[20, 22, 15, 27, 13, 21, 8, 11, 38, 5]",1,{27}
['2020/3/11'],[ 7  9 12 14 16],"[17, 24, 16, 7, 35, 12, 31, 4, 3, 5]",3,"{16, 12, 7}"
['2020/3/12'],[ 1 18 20 24 37],"[11, 26, 36, 3, 13, 24, 31, 19, 6, 14]",1,{24}
['2020/3/13'],[ 3  5 10 13 29],"[30, 25, 29, 34, 4, 32, 24, 9, 8, 35]",1,{29}
['2020/3/14'],[ 2  6 17 20 30],"[5, 15, 18, 3, 26, 1, 7, 39, 25, 23]",0,
['2020/3/16'],[ 1  9 11 21 32],"[15, 19, 9, 25, 4, 30, 3, 22, 35, 16]",1,{9}
['2020/3/17'],[ 7 16 22 29 37],"[36, 39, 1, 35, 15, 26, 9, 24, 37, 4]",1,{37}
['2020/3/18'],[ 5  9 20 30 38],"[36, 26, 5, 17, 28, 31, 39, 19, 21, 25]",1,{5}
['2020/3/19'],[ 3 11 30 32 34],"[34, 5, 33, 13, 20, 38, 30, 2, 35, 18]",2,"{34, 30}"
['2020/3/20'],[10 16 20 33 39],"[3, 6, 8, 7, 11, 38, 26, 32, 37, 1]",0,
['2020/3/21'],[ 3  7 16 22 31],"[28, 27, 6, 14, 9, 32, 30, 17, 19, 39]",0,
['2020/3/23'],[ 5  6 16 27 31],"[16, 8, 14, 12, 2, 6, 13, 21, 5, 19]",3,"{16, 5, 6}"
['2020/3/24'],[ 9 12 25 26 30],"[27, 31, 16, 20, 5, 37, 13, 15, 12, 32]",1,{12}
['2020/3/25'],[ 5  8 23 29 32],"[32, 9, 16, 10, 13, 33, 39, 7, 31, 12]",1,{32}
['2020/3/26'],[ 3 19 27 28 30],"[5, 22, 9, 18, 23, 36, 21, 35, 34, 1]",0,
