對獎日期,開獎號碼,預測開獎號碼範圍,對中的號碼數量,對中的號碼
['2020/1/1'],[ 1 22 26 27 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/1/2'],[ 1  6 11 23 27],"[20, 2, 14, 8, 39]",0,
['2020/1/3'],[ 1  3  8 18 31],"[20, 2, 14, 8, 39]",1,{8}
['2020/1/4'],[23 25 29 30 32],"[20, 2, 14, 8, 39]",0,
['2020/1/6'],[14 16 27 28 34],"[20, 2, 14, 8, 39]",1,{14}
['2020/1/7'],[10 11 28 37 38],"[20, 2, 14, 8, 39]",0,
['2020/1/8'],[ 4  6 10 12 26],"[20, 2, 14, 8, 39]",0,
['2020/1/9'],[ 4 13 20 30 36],"[20, 2, 14, 8, 39]",1,{20}
['2020/1/10'],[ 2  5 10 21 29],"[20, 2, 14, 8, 39]",1,{2}
['2020/1/11'],[ 3 14 16 25 34],"[20, 2, 14, 8, 39]",1,{14}
['2020/1/13'],[11 13 24 28 35],"[20, 2, 14, 8, 39]",0,
['2020/1/14'],[10 27 36 37 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/1/15'],[10 17 19 35 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/1/16'],[ 3  4  5 10 33],"[20, 2, 14, 8, 39]",0,
['2020/1/17'],[ 4 17 18 22 32],"[20, 2, 14, 8, 39]",0,
['2020/1/18'],[ 6 14 22 28 37],"[20, 2, 14, 8, 39]",1,{14}
['2020/1/20'],[ 4 21 28 35 38],"[20, 2, 14, 8, 39]",0,
['2020/1/21'],[10 17 27 29 32],"[20, 2, 14, 8, 39]",0,
['2020/1/22'],[ 4 11 22 33 36],"[20, 2, 14, 8, 39]",0,
['2020/1/23'],[ 1 17 23 33 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/1/24'],[ 3  7 27 35 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/1/25'],[ 5 12 13 20 26],"[20, 2, 14, 8, 39]",1,{20}
['2020/1/27'],[ 1  9 14 27 39],"[20, 2, 14, 8, 39]",2,"{14, 39}"
['2020/1/28'],[ 1  2 18 33 39],"[20, 2, 14, 8, 39]",2,"{2, 39}"
['2020/1/29'],[10 15 19 28 30],"[20, 2, 14, 8, 39]",0,
['2020/1/30'],[ 8 10 16 24 34],"[20, 2, 14, 8, 39]",1,{8}
['2020/1/31'],[ 8 11 17 27 31],"[20, 2, 14, 8, 39]",1,{8}
['2020/2/1'],[ 4  7 13 20 24],"[20, 2, 14, 8, 39]",1,{20}
['2020/2/3'],[ 1  3 21 24 34],"[20, 2, 14, 8, 39]",0,
['2020/2/4'],[12 29 35 37 38],"[20, 2, 14, 8, 39]",0,
['2020/2/5'],[ 2  4 23 31 38],"[20, 2, 14, 8, 39]",1,{2}
['2020/2/6'],[ 1  3  7 23 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/2/7'],[ 8 13 20 25 29],"[20, 2, 14, 8, 39]",2,"{8, 20}"
['2020/2/8'],[12 23 26 27 33],"[20, 2, 14, 8, 39]",0,
['2020/2/10'],[ 8 23 24 31 39],"[20, 2, 14, 8, 39]",2,"{8, 39}"
['2020/2/11'],[ 5 12 19 27 28],"[20, 2, 14, 8, 39]",0,
['2020/2/12'],[17 19 23 33 35],"[20, 2, 14, 8, 39]",0,
['2020/2/13'],[ 1 17 28 35 38],"[20, 2, 14, 8, 39]",0,
['2020/2/14'],[ 4 13 25 26 36],"[20, 2, 14, 8, 39]",0,
['2020/2/15'],[ 5  8 18 29 33],"[20, 2, 14, 8, 39]",1,{8}
['2020/2/17'],[ 2 18 30 35 36],"[20, 2, 14, 8, 39]",1,{2}
['2020/2/18'],[ 1  5  6  9 31],"[20, 2, 14, 8, 39]",0,
